#zaimki i słowa gramatyczne
ich;ja
du;ty
er;on
sie;ona
es;ono
wir;my
ihr;wy|jej|ich
sie;oni|one|Pan|Pani|ją
mich;mnie
dich;ciebie
ihn;jego
uns;nas
euch;was
Ihnen;Panu|Pani
mein;mój
dein;twój
sein;jego|być
ihr;wy|jej|ich
unser;nasz
euer;wasz
ihr;wy|jej|ich
das;to
dieser;ten
welcher;który
alle;wszyscy
einige;niektórzy
viele;wiele
keiner;nikt
jemand;ktoś
#czasowniki
sein;być|jego
haben;mieć
werden;stać się
können;móc
müssen;musieć
wollen;chcieć
sollen;powinno się
dürfen;mieć pozwolenie|móc
machen;robić
sagen;mówić
gehen;iść
kommen;przychodzić
sehen;widzieć
geben;dawać
nehmen;brać
wissen;wiedzieć
finden;znaleźć
arbeiten;pracować
spielen;grać
schlafen;spać
#rzeczowniki
der Mann;mężczyzna
die Frau;kobieta
das Kind;dziecko
der Hund;pies
die Katze;kot
der Tisch;stół
die Lampe;lampa
das Buch;książka
der Stuhl;krzesło
die Tür;drzwi
das Fenster;okno
der Tag;dzień
die Nacht;noc
das Jahr;rok
der Monat;miesiąc
die Woche;tydzień
das Auto;samochód
die Straße;ulica
das Haus;dom
der Baum;drzewo
#przymiotniki
gut;dobry
schlecht;zły
groß;duży
klein;mały
neu;nowy
alt;stary
schön;piękny
hässlich;brzydki
schnell;szybki
langsam;wolny
teuer;drogi
billig;tani
einfach;łatwy
schwierig;trudny
heiß;gorący
kalt;zimny
laut;głośny
leise;cichy
nah;blisko
weit;daleko
#przyimki
auf;na
in;w
an;przy
neben;obok
hinter;za
vor;przed
zwischen;pomiędzy
über;nad
unter;pod
mit;z
