#1
heissen;nazywać się
ich heisse;ja nazywam się
du heisst;ty nazywasz się
er heisst;on nazywa się
wir heissen;my nazywamy się
ihr heisst;wy nazywacie się
sie heissen;oni nazywają się
#2
wohnen; mieszkać
ich wohne; ja mieszkam
du wohnst; ty mieszkasz
er wohnt; on mieszka
wir wohnen; my mieszkamy
ihr wohnt; wy mieszkacie
sie wohnen; oni mieszkają
#3
bestehen; istnieć|składać się
ich bestehe; ja składam się
du bestehst; ty składasz się
er besteht; on składa się
wir bestehen; my składamy się
ihr besteht; wy składacie się
sie bestehen; oni składają się
#4
streiten; kłócić się
ich streite mich; ja kłócę się
du streitest dich; ty kłócisz się
er streitet sich; on/ona/ono kłóci się
wir streiten uns; my kłócimy się
ihr streitet euch; wy kłócicie się
sie/Sie streiten sich; oni/one kłócą się

