1 język;2 język;Liczba powtórzeń
einige;niektórzy;5
werden;stać się;5
dürfen;mieć pozwolenie;4
euch;was;4
an;przy;3
euer;wasz;3
ihn;jego;3
zwischen;pomiędzy;3
kommen;przychodzić;2
leise;cichy;2
neben;obok;2
nehmen;brać;2
schlecht;zły;2
sie;oni|one|Pan|Pani|ją;2
weit;daleko;2
Ihnen;Panu|Pani;1
dein;twój;1
dich;ciebie;1
dieser;ten;1
heiß;gorący;1
ihr;wy|jej|ich;1
ihr;wy|jej|ich;1
jemand;ktoś;1
langsam;wolny;1
laut;głośny;1
sagen;mówić;1
schnell;szybki;1
schwierig;trudny;1
uns;nas;1
wissen;wiedzieć;1
