id;model;cena;rok;przebieg;pojemnosc_silnika;skrzynia_biegow;typ_paliwa;sprzedawca;utworzono;link
11734423;Kia Picanto;1950;2007;177800;65;manual;petrol;professional;2024-08-06;****.ch/en/d/11734423
11695520;Kia Ceed;2000;2009;171924;126;manual;petrol;professional;2024-07-17;****.ch/en/d/11695520
11560083;Kia Soul;2100;2010;165000;126;manual;petrol;professional;2024-05-28;****.ch/en/d/11560083
11492529;Kia Picanto;2200;2006;178000;65;manual;petrol;professional;2024-05-02;****.ch/en/d/11492529
11674507;Kia Carens;2300;2009;175000;144;manual;petrol;professional;2024-07-09;****.ch/en/d/11674507
11713198;Kia Picanto;2500;2008;127500;65;manual;petrol;professional;2024-07-25;****.ch/en/d/11713198
11738794;Kia Ceed;2500;2012;153000;125;manual;petrol;professional;2024-08-07;****.ch/en/d/11738794
11652411;Kia Ceed;2600;2008;193400;126;manual;petrol;professional;2024-07-01;****.ch/en/d/11652411
11669792;Kia Picanto;2700;2010;149000;65;manual;petrol;professional;2024-07-06;****.ch/en/d/11669792
11209119;Kia Picanto;2800;2009;122419;65;manual;petrol;professional;2024-01-28;****.ch/en/d/11209119
11520287;Kia Picanto;2900;2009;84998;65;manual;petrol;professional;2024-05-14;****.ch/en/d/11520287
11499408;Kia Ceed;2900;2010;190000;109;manual;petrol;professional;2024-05-05;****.ch/en/d/11499408
11123627;Kia Picanto;2900;2005;170000;65;manual;petrol;professional;2023-12-22;****.ch/en/d/11123627
11733328;Kia Rio;2900;2009;172000;97;manual;petrol;professional;2024-08-06;****.ch/en/d/11733328
11480211;Kia Shuma;2950;2001;81500;110;automatic;petrol;professional;2024-04-28;****.ch/en/d/11480211
11648171;Kia Rio;2950;2005;159000;97;manual;petrol;professional;2024-06-28;****.ch/en/d/11648171
11075268;Kia Picanto;2990;2005;149000;65;manual;petrol;professional;2023-12-04;****.ch/en/d/11075268
11738429;Kia Ceed;2990;2013;304000;135;manual;petrol;professional;2024-08-07;****.ch/en/d/11738429
11473732;Kia Picanto;2997;2011;172000;63;manual;petrol;professional;2024-04-25;****.ch/en/d/11473732
11449526;Kia Picanto;3099;2011;120918;65;manual;petrol;professional;2024-04-17;****.ch/en/d/11449526
11314280;Kia Picanto;3300;2005;184000;65;manual;petrol;professional;2024-02-28;****.ch/en/d/11314280
10537879;Kia Rio;3400;2009;169842;97;manual;petrol;professional;2023-05-19;****.ch/en/d/10537879
11717438;Kia Rio;3500;2008;134500;97;manual;petrol;professional;2024-07-27;****.ch/en/d/11717438
11428482;Kia Ceed;3600;2007;129000;109;manual;petrol;professional;2024-04-10;****.ch/en/d/11428482
11448801;Kia Picanto;3600;2004;139216;65;manual;petrol;professional;2024-04-17;****.ch/en/d/11448801
11479229;Kia Picanto;3600;2012;175800;69;manual;petrol;professional;2024-04-27;****.ch/en/d/11479229
11357921;Kia Venga;3700;2011;165000;90;manual;petrol;professional;2024-03-13;****.ch/en/d/11357921
11688427;Kia Picanto;3800;2007;85000;65;manual;petrol;professional;2024-07-13;****.ch/en/d/11688427
11036631;Kia Picanto;3900;2006;130000;65;manual;petrol;professional;2023-11-18;****.ch/en/d/11036631
11635114;Kia Picanto;3900;2012;103000;69;manual;petrol;professional;2024-06-24;****.ch/en/d/11635114
11223618;Kia Rio;3950;2010;144000;97;manual;petrol;professional;2024-02-01;****.ch/en/d/11223618
11419573;Kia Ceed;3990;2007;121000;109;manual;petrol;professional;2024-04-06;****.ch/en/d/11419573
11728622;Kia Rio;4400;2015;134532;84;manual;petrol;professional;2024-08-03;****.ch/en/d/11728622
11681729;Kia Sorento;4490;2005;184000;195;automatic;petrol;professional;2024-07-11;****.ch/en/d/11681729
10278938;Kia Venga;4500;2011;123000;125;manual;petrol;professional;2023-02-21;****.ch/en/d/10278938
11409789;Kia Ceed;4500;2010;95000;90;manual;petrol;professional;2024-04-01;****.ch/en/d/11409789
11625261;Kia Venga;4500;2012;115000;90;manual;petrol;professional;2024-06-20;****.ch/en/d/11625261
11473949;Kia Picanto;4500;2012;92000;69;manual;petrol;professional;2024-04-26;****.ch/en/d/11473949
10761943;Kia Ceed;4500;2010;177000;125;manual;petrol;professional;2023-08-11;****.ch/en/d/10761943
11734331;Kia Ceed;4500;2011;120000;125;automatic;petrol;professional;2024-08-06;****.ch/en/d/11734331
11040224;Kia Venga;4600;2010;149900;125;manual;petrol;professional;2023-11-20;****.ch/en/d/11040224
11156893;Kia Rio;4600;2015;121000;109;manual;petrol;professional;2024-01-10;****.ch/en/d/11156893
11717111;Kia Ceed;4700;2007;175500;143;automatic;petrol;professional;2024-07-26;****.ch/en/d/11717111
11481090;Kia Venga;4750;2012;145000;90;manual;petrol;professional;2024-04-29;****.ch/en/d/11481090
11556524;Kia Sorento;4800;2005;170000;195;automatic;petrol;professional;2024-05-27;****.ch/en/d/11556524
11655680;Kia Soul;4899;2010;120000;126;manual;petrol;professional;2024-07-02;****.ch/en/d/11655680
11625285;Kia Soul;4900;2009;118000;126;manual;petrol;professional;2024-06-20;****.ch/en/d/11625285
11561471;Kia Venga;4900;2010;128000;125;manual;petrol;professional;2024-05-29;****.ch/en/d/11561471
11452708;Kia Sportage;4900;2005;112000;175;automatic;petrol;professional;2024-04-18;****.ch/en/d/11452708
