Model;Class
Audi A3;C
Audi A4;D
Audi A5;D
Audi A6;E
Audi Q3;SC
Audi Q5;SD
BMW Seria1;C
BMW Seria2;MC
BMW Seria3;C
BMW Seria5;D
BMW X1;SC
Citroën C3;B
Citroën C4;C
Citroën C4 SpaceTourer;MC
Dacia Duster;SC
Dacia Sandero;B
Fiat 500;B
Fiat Punto;C
Fiat Tipo;D
Ford C-MAX;MC
Ford Fiesta;B
Ford Focus;C
Ford Kuga;SC
Ford Mondeo;D
Honda CR-V;SC
Honda Civic;C
Honda Jazz;MB
Hyundai I30;C
Hyundai Kona;SB
Hyundai Tucson;SC
Hyundai i20;B
Hyundai ix35;SC
Kia Ceed;C
Kia Rio;B
Kia Sportage;SC
Kia Stonic;SB
Kia XCeed;SC
MINI Cooper;B
MINI Countryman;SB
Mazda 3;C
Mazda 6;D
Mazda CX-3;SB
Mazda CX-5;SD
Mercedes-Benz CLA;C
Mercedes-Benz GLA;SC
Mercedes-Benz KlasaA;C
Mercedes-Benz KlasaB;MC
Mercedes-Benz KlasaC;D
Mercedes-Benz KlasaE;E
Mercedes-Benz KlasaS;E
Mitsubishi ASX;SC
Nissan Juke;SB
Nissan Micra;B
Nissan Qashqai;SC
Opel Astra;C
Opel Corsa;B
Opel Crossland;SB
Opel Grandland;SC
Opel Insignia;D
Opel Meriva;MB
Opel Mokka;SB
Opel Zafira;MC
Peugeot 20;B
Peugeot 200;SB
Peugeot 30;C
Peugeot 300;SC
Renault Captur;SB
Renault Clio;B
Renault Kadjar;SC
Renault Laguna;D
Renault Megane;C
Renault Scenic;MC
Seat Arona;SB
Seat Ateca;SC
Seat Ibiza;B
Seat Leon;C
Skoda Fabia;B
Skoda Kodiaq;SD
Skoda Octavia;C
Skoda Scala;C
Skoda Superb;D
Suzuki SX4;SB
Suzuki Swift;B
Suzuki Vitara;SB
Toyota Avensis;D
Toyota Aygo;A
Toyota Corolla;C
Toyota RAV4;SD
Toyota Yaris;B
Volkswagen Arteon;D
Volkswagen Golf;C
Volkswagen Golf Sportsvan;MC
Volkswagen Passat;D
Volkswagen Polo;B
Volkswagen T-Roc;SB
Volkswagen Tiguan;SC
Volkswagen up!;A
Volvo S60;D
Volvo XC40;SC
Volvo XC60;SD
