Model;Class
Volkswagen Golf;C
Volkswagen Polo;B
Fiat 500;C
Mercedes-Benz KlasaA;C
Mercedes-Benz KlasaC;D
Volkswagen Tiguan;SC
Mini Cooper;B
BMW Seria1;B
BMW Seria3;D
Mercedes-Benz CLA;C
Skoda Octavia;C
Mercedes-Benz KlasaE;E
Peugeot 20;B
Volkswagen T-Roc;SB
Audi A3;C
Skoda Fabia;B
Opel Corsa;B
Audi A1;B
Seat Leon;C
Ford Fiesta;B
Mercedes-Benz GLA;C
Renault Clio;B
Ford Focus;C
Seat Ibiza;B
Audi Q3;SC
Mini Countryman;SB
Opel Astra;C
Opel Mokka;SB
Peugeot 30;C
Renault Megane;C
Mercedes-Benz GLC;SD
Mercedes-Benz SL;B
Mini Cabrio;B
BMW X3;SD
BMW Seria2;MC
Audi S3;C
Audi Rs3;C
Mercedes-Benz KlasaB;MC
Audi TT;B
Skoda Karoq;SC
Fiat Panda;A
Mercedes-Benz KlasaS;E
Citroen C3;B
Toyota Yaris;B
Skoda Kamiq;SB
Suzuki Swift;B
Alfa-Romeo Stelvio;SD
BMW M3;D
BMW Seria5;E
Audi A4;D
Mercedes-Benz SLK;B
BMW Z4;B
BMW Seria4;D
Audi Q2;SB
Volkswagen Touran;MC
Opel Insignia;D
Audi Rs4;D
Toyota Aygo;A
Dacia Duster;C
Volkswagen T-Cross;SB
Mazda 2;B
Hyundai I30;C
Seat Ateca;SC
Renault Scenic;MC
BMW X1;SB
BMW M4;D
Mazda CX-5;SD
Ford Mustang;D
Skoda Kodiaq;SD
Dacia Sandero;B
BMW X5;SE
Audi Rs;C
Opel Crossland;SB
Fiat Punto;B
Nissan Micra;B
Nissan Qashqai;C
Peugeot 300;SC
Volkswagen Passat;D
Audi Q5;SD
Nissan Juke;B
Jeep Wrangler;C
Honda Jazz;MB
Hyundai I20;B
Peugeot 200;SB
Subaru Impreza;C
Fiat 500X;SB
BMW M5;E
Skoda Scala;C
Honda Civic;C
Renault Twingo;A
Jeep GrandCherokee;D
BMW X4;SD
Subaru XV;SC
BMW Seria6;E
Renault Captur;SB
Kia Ceed;C
Alfa-Romeo Giulietta;C
Mini Clubman;B
Mercedes-Benz GLE;SE
Audi Rs6;E
Audi A5;D
Audi S5;D
Opel Meriva;MB
Volvo XC60;SD
Subaru Forester;SC
Volkswagen Taigo;SB
BMW M2;C
Volvo XC40;SC
Peugeot 10;A
Skoda Superb;D
Audi Rs5;D
Citroen C1;A
BMW Seria7;E
Mercedes-Benz CLS;E
Alfa-Romeo Giulia;D
Volkswagen Golf Sportsvan;C
Mitsubishi SpaceStar;B
Chevrolet Corvette;D
Chevrolet Camaro;D
Mazda 6;D
Seat Tarraco;D
Seat Arona;SB
Citroen C4;C
Opel Zafira;MC
Volkswagen Up;A
Toyota Corolla;C
Jeep Compass;C
Kia Picanto;A
Suzuki Vitara;SB
Hyundai Kona;SB
Hyundai Tucson;SC
Audi S4;D
Volkswagen NewBeetle;C
Suzuki Jimny;SA
Mazda 3;C
Mazda MX-5;B
Toyota RAV4;SD
Mercedes-Benz GLB;SD
Citroen C3 Aircross;SB
BMW Z3;B
BMW X2;SC
Suzuki SX4;SB
Seat Alhambra;D
Opel Adam;A
Jeep Renegade;B
Audi A6;E
Mazda CX-3;SB
Ford Kuga;SC
Citroen C4 SpaceTourer;MC
BMW X6;SE
