id;model;klasa;cena;rok;przebieg;pojemnosc_silnika;skrzynia_biegow;wiek_ogloszenia;link
11738429;Kia Ceed;C;2.99;2013;304.0;135;manual;1;autoscout24.ch/en/d/11738429
11726316;Mercedes-Benz KlasaE;E;2.7;2005;383.0;224;automatic;7;autoscout24.ch/en/d/11726316
11565748;Mercedes-Benz ML;X;5.9;2002;395.0;347;automatic;70;autoscout24.ch/en/d/11565748
11658194;Mercedes-Benz SLK;B;6.9;2008;304.5;304;automatic;40;autoscout24.ch/en/d/11658194
11701912;Mercedes-Benz KlasaC;D;6.999;2002;404.0;354;automatic;20;autoscout24.ch/en/d/11701912
11294104;Mercedes-Benz KlasaC;D;8.0;2015;324.587;184;automatic;169;autoscout24.ch/en/d/11294104
11376967;Mercedes-Benz ML;X;12.9;2012;402.2;306;automatic;142;autoscout24.ch/en/d/11376967
10969275;Mercedes-Benz SEC;X;17.9;1991;352.1;279;automatic;289;autoscout24.ch/en/d/10969275
11174703;Mercedes-Benz KlasaG;X;28.8;1994;335.0;211;automatic;204;autoscout24.ch/en/d/11174703
11534018;Mercedes-Benz KlasaC;D;34.5;2008;301.0;457;automatic;82;autoscout24.ch/en/d/11534018
11685441;Volkswagen Golf;C;2.5;2006;305.0;200;manual;27;autoscout24.ch/en/d/11685441
11605992;Volkswagen Golf;C;2.9;1997;333.0;115;manual;56;autoscout24.ch/en/d/11605992
11670569;Volkswagen Passat;D;2.9;2010;354.0;122;automatic;32;autoscout24.ch/en/d/11670569
11713165;Volkswagen Eos;X;2.9;2007;370.0;200;manual;14;autoscout24.ch/en/d/11713165
11735818;Volkswagen Golf;C;3.8;2006;303.0;200;automatic;8;autoscout24.ch/en/d/11735818
11731129;Volkswagen Golf;C;3.88;2007;328.0;230;manual;3;autoscout24.ch/en/d/11731129
11710818;Volkswagen Passat;D;3.88;2008;330.0;300;automatic;15;autoscout24.ch/en/d/11710818
11549845;Volkswagen Golf;C;6.7;1991;322.0;107;manual;76;autoscout24.ch/en/d/11549845
