model;klasa;counts
Volkswagen Polo;B;50
Fiat 500;C;40
Peugeot 20;B;38
Mini Cooper;B;34
Skoda Fabia;B;33
Ford Fiesta;B;32
Peugeot 30;C;29
Seat Ibiza;B;27
Renault Clio;B;27
Volkswagen Golf;C;26
Opel Mokka;SB;24
Opel Corsa;B;21
Citroen C3;B;20
Peugeot 200;SB;20
Ford Focus;C;20
Fiat Panda;A;20
Suzuki Swift;B;19
Opel Astra;C;19
Dacia Duster;C;16
Fiat 500X;SB;15
Volkswagen Up;A;15
Nissan Juke;B;14
Citroen C1;A;13
Opel Adam;A;13
Renault Captur;SB;13
Toyota Aygo;A;12
Hyundai I20;B;11
Skoda Octavia;C;11
Opel Crossland;SB;11
Citroen C4 Cactus;X;11
Citroen C3 Aircross;SB;10
Mazda 2;B;10
Renault Megane;C;10
Mitsubishi SpaceStar;B;9
Nissan Qashqai;C;9
Citroen C4 SpaceTourer;MC;9
Seat Leon;C;9
Peugeot 10;A;9
Mini Countryman;SB;8
Alfa-Romeo Giulietta;C;8
Ford Tourneo;X;8
Suzuki SX4;SB;7
Dacia Lodgy;X;7
Dacia Sandero;B;7
Audi A1;B;6
BMW Seria1;B;6
Citroen C4;C;6
Renault Kadjar;X;6
Dacia Logan;X;6
Kia Ceed;C;6
Hyundai I30;C;5
Alfa-Romeo Mito;X;5
Opel Meriva;MB;5
Kia Picanto;A;5
Fiat Punto;B;5
Hyundai I10;X;5
Nissan Micra;B;5
Renault Scenic;MC;5
Ford Kuga;SC;5
Mazda 3;C;5
Skoda Rapid;X;5
Opel Zafira;MC;4
Ford Ecosport;X;4
Hyundai Kona;SB;4
Mercedes-Benz KlasaA;C;4
Mazda CX-3;SB;4
Fiat Tipo;X;4
Opel Insignia;D;4
Honda Jazz;MB;4
Fiat 500L;X;4
Peugeot 300;SC;4
Mini Cabrio;B;3
Kia Rio;X;3
Subaru Legacy;X;3
Volkswagen Golf Sportsvan;C;3
Mini Clubman;B;3
BMW Seria2;MC;3
Nissan Pulsar;X;3
Suzuki Ignis;X;3
Toyota Corolla;C;3
Ford Ka;X;3
Citroen C3 SpaceTourer;X;3
Suzuki Baleno;X;2
Skoda Yeti;X;2
Peugeot 500;X;2
Renault Kangoo;X;2
Renault Twingo;A;2
Toyota Yaris;B;2
Volvo V40;X;2
Ford B-MAX;X;2
Ford C-MAX;X;2
Honda HR-V;X;2
Ford Grand;X;2
Kia Sportage;X;2
Nissan Note;X;2
Fiat Sedici;X;2
Kia Stonic;X;2
Hyundai Ix20;X;1
Honda Civic;C;1
Peugeot 50;X;1
Volkswagen Eos;X;1
Suzuki Celerio;X;1
Citroen Berlingo;X;1
Volkswagen Scirocco;X;1
Volkswagen T-Roc;SB;1
Volkswagen Touran;MC;1
Audi A3;C;1
Jeep Renegade;B;1
Subaru Levorg;X;1
Kia Carens;X;1
Peugeot 40;X;1
Kia Optima;X;1
Subaru Forester;SC;1
Kia Soul;X;1
Mazda CX-5;SD;1
Mercedes-Benz Citan;X;1
Mercedes-Benz KlasaB;MC;1
Seat Alhambra;D;1
Renault Talisman;X;1
Nissan X-Trail;X;1
Opel Cascada;X;1
Opel Grandland;X;1
Opel Karl;X;1
Mitsubishi Lancer;X;1
