model;klasa;counts
Volkswagen Golf;C;125
Volkswagen Polo;B;106
Fiat 500;C;98
Peugeot 20;B;82
Skoda Fabia;B;73
Mini Cooper;B;63
Ford Fiesta;B;58
Seat Ibiza;B;52
Opel Mokka;SB;52
Renault Clio;B;51
Peugeot 30;C;50
Audi A1;B;48
Mini Countryman;SB;46
Skoda Octavia;C;46
Seat Leon;C;45
Opel Astra;C;41
Ford Focus;C;41
Opel Corsa;B;37
Suzuki Swift;B;36
BMW Seria1;B;34
Fiat Panda;A;33
Alfa-Romeo Giulietta;C;30
Peugeot 200;SB;30
Nissan Juke;B;29
Renault Megane;C;26
Mercedes-Benz KlasaA;C;26
Citroen C3;B;25
Opel Adam;A;25
Opel Insignia;D;24
Nissan Qashqai;C;24
Dacia Duster;C;24
Volkswagen Up;A;24
Suzuki SX4;SB;23
Renault Scenic;MC;20
Volkswagen Touran;MC;20
Subaru XV;SC;20
Mazda 2;B;19
Fiat Punto;B;18
Renault Captur;SB;18
Fiat 500X;SB;18
Kia Ceed;C;18
Citroen C4 SpaceTourer;MC;18
Mini Cabrio;B;17
Hyundai I30;C;17
Hyundai I20;B;17
Toyota Aygo;A;17
Mazda 3;C;16
Volkswagen Golf Sportsvan;C;15
Toyota Yaris;B;15
Citroen C1;A;15
Mercedes-Benz KlasaB;MC;15
Ford Kuga;SC;15
Ford C-MAX;X;14
Opel Zafira;MC;14
Citroen C4 Cactus;X;14
Audi A3;C;13
Opel Meriva;MB;13
Subaru Legacy;X;12
Skoda Yeti;X;12
Peugeot 10;A;12
Skoda Rapid;X;12
Opel Crossland;SB;12
Citroen C3 Aircross;SB;11
Peugeot 300;SC;11
Volkswagen Tiguan;SC;11
Mitsubishi SpaceStar;B;10
Volkswagen NewBeetle;C;10
Volkswagen Passat;D;10
Kia Rio;X;10
Mini Paceman;X;10
Ford Tourneo;X;10
Volvo V40;X;9
BMW Seria2;MC;9
Toyota Corolla;C;9
Alfa-Romeo Mito;X;9
Citroen C4;C;9
Nissan Micra;B;9
Dacia Sandero;B;9
Hyundai Ix20;X;9
Fiat 500L;X;8
Suzuki Ignis;X;8
Kia Picanto;A;8
Seat Alhambra;D;8
Hyundai I10;X;8
Ford Grand;X;8
Renault Kadjar;X;7
Peugeot 500;X;7
Dacia Lodgy;X;7
Chevrolet Trax;X;7
Subaru Impreza;C;7
Honda Jazz;MB;7
Jeep Compass;C;7
Mini Coupe;X;6
Ford B-MAX;X;6
Mercedes-Benz KlasaC;D;6
Mazda 5;X;6
Citroen C3 SpaceTourer;X;6
Mini Clubman;B;6
Dacia Logan;X;6
BMW X1;SB;6
Audi Q3;SC;6
Toyota Verso;X;6
Peugeot 50;X;5
Volkswagen Eos;X;5
Mini Roadster;X;5
Fiat Sedici;X;5
Renault Twingo;A;5
Ford Ecosport;X;5
Opel Cascada;X;5
Mazda CX-3;SB;5
Fiat Tipo;X;4
Kia Stonic;X;4
BMW Seria3;D;4
Hyundai Kona;SB;4
Kia Sportage;X;4
Suzuki Vitara;SB;4
Skoda Citigo;X;4
Mazda 6;D;4
Hyundai I40;X;4
Audi A4;D;4
Volkswagen Scirocco;X;4
Mazda CX-5;SD;4
Ford S-MAX;X;4
Nissan Pulsar;X;4
Chevrolet Cruze;X;3
Nissan Note;X;3
Mitsubishi Lancer;X;3
Jeep Renegade;B;3
Fiat Freemont;X;3
Audi A5;D;3
Kia Carens;X;3
Audi TT;B;3
Subaru Forester;SC;3
Honda Civic;C;3
Ford Ka;X;3
Hyundai Veloster;X;2
Seat Altea;X;2
Seat Arona;SB;2
Seat Exeo;X;2
Honda HR-V;X;2
Opel Ampera;X;2
Kia Proceed;X;2
Volvo S60;X;2
Jeep Cherokee;X;2
Chevrolet Orlando;X;2
Skoda Superb;D;2
Chevrolet Captiva;X;2
Chevrolet Aveo;X;2
Citroen C5;X;2
Renault Koleos;X;2
Mitsubishi Outlander;X;2
Peugeot RCZ;X;2
Opel Combo;X;2
Audi Q5;SD;2
Ford Mondeo;X;2
Volkswagen Sharan;X;2
Volkswagen CC;X;2
BMW Seria5;E;2
Suzuki Baleno;X;2
Mitsubishi Colt;X;2
Renault Espace;X;2
Renault Kangoo;X;2
Opel Antara;X;2
Volkswagen;X;1
BMW X3;SD;1
Audi A6;E;1
BMW X5;SE;1
Suzuki Celerio;X;1
Volkswagen T-Cross;SB;1
Volkswagen T-Roc;SB;1
Toyota Avensis;X;1
Suzuki Kizashi;X;1
Suzuki Jimny;SA;1
Kia Magentis;X;1
Toyota RAV4;SD;1
Renault Laguna;X;1
Suzuki Alto;X;1
Fiat Qubo;X;1
Mercedes-Benz KlasaE;E;1
Mini;X;1
Mazda MX-5;B;1
Mazda CX-7;X;1
Mitsubishi ASX;X;1
Nissan Murano;X;1
Nissan NV200;X;1
Nissan X-Trail;X;1
Opel Agila;X;1
Ford Galaxy;X;1
Opel Grandland;X;1
Opel Karl;X;1
Fiat Doblo;X;1
Subaru Levorg;X;1
Fiat Bravo;X;1
Kia Venga;X;1
Peugeot Partner;X;1
Mercedes-Benz Citan;X;1
Citroen C5 Aircross;X;1
Renault Modus;X;1
Renault Talisman;X;1
Kia Soul;X;1
Seat Mii;X;1
Seat Toledo;X;1
Citroen Berlingo;X;1
Kia Optima;X;1
Peugeot 40;X;1
