model;klasa;counts
Volkswagen Golf;C;1573
Volkswagen Polo;B;941
Fiat 500;C;928
Mercedes-Benz KlasaA;C;898
Mercedes-Benz KlasaC;D;745
Volkswagen Tiguan;SC;729
Mini Cooper;B;610
BMW Seria1;B;565
BMW Seria3;D;540
Mercedes-Benz CLA;C;502
Skoda Octavia;C;496
Peugeot 20;B;494
Mercedes-Benz KlasaE;E;494
Volkswagen T-Roc;SB;489
Audi A3;C;424
Skoda Fabia;B;407
Opel Corsa;B;391
Audi A1;B;390
Seat Leon;C;386
Ford Fiesta;B;379
Mercedes-Benz GLA;C;372
Renault Clio;B;369
Ford Focus;C;361
Seat Ibiza;B;350
Audi Q3;SC;340
Mini Countryman;SB;319
Opel Astra;C;312
Opel Mokka;SB;309
Peugeot 30;C;306
Renault Megane;C;300
Mercedes-Benz GLC;SD;290
Mercedes-Benz SL;B;288
Mini Cabrio;B;286
BMW X3;SD;278
BMW Seria2;MC;275
Audi S3;C;270
Audi Rs3;C;254
Mercedes-Benz KlasaB;MC;249
Audi TT;B;245
Skoda Karoq;SC;230
Fiat Panda;A;225
Mercedes-Benz KlasaS;E;219
Citroen C3;B;218
Toyota Yaris;B;216
Skoda Kamiq;SB;214
Suzuki Swift;B;211
Alfa-Romeo Stelvio;SD;210
BMW M3;D;204
BMW Seria5;E;199
Audi A4;D;197
Mercedes-Benz SLK;B;196
BMW Z4;B;195
BMW Seria4;D;192
Audi Q2;SB;192
Volkswagen Touran;MC;191
Opel Insignia;D;190
Audi Rs4;D;184
Toyota Aygo;A;183
Dacia Duster;C;183
Volkswagen T-Cross;SB;182
Mazda 2;B;174
Hyundai I30;C;170
Seat Ateca;SC;170
Renault Scenic;MC;168
BMW X1;SB;164
BMW M4;D;163
Mazda CX-5;SD;159
Ford Mustang;D;159
Skoda Kodiaq;SD;155
Dacia Sandero;B;151
BMW X5;SE;151
Audi Rs;C;150
Opel Crossland;SB;148
Fiat Punto;B;144
Nissan Micra;B;142
Nissan Qashqai;C;140
Peugeot 300;SC;139
Volkswagen Passat;D;139
Audi Q5;SD;138
Nissan Juke;B;137
Honda Jazz;MB;136
Jeep Wrangler;C;136
Hyundai I20;B;135
Peugeot 200;SB;134
Subaru Impreza;C;134
Fiat 500X;SB;130
Skoda Scala;C;129
BMW M5;E;129
Honda Civic;C;128
Renault Twingo;A;125
Jeep GrandCherokee;D;123
BMW X4;SD;123
BMW Seria6;E;122
Subaru XV;SC;122
Renault Captur;SB;121
Kia Ceed;C;121
Mini Clubman;B;120
Alfa-Romeo Giulietta;C;120
Mercedes-Benz GLE;SE;119
Audi A5;D;119
Audi S5;D;119
Audi Rs6;E;119
Opel Meriva;MB;114
Volvo XC60;SD;113
Subaru Forester;SC;111
BMW M2;C;109
Volkswagen Taigo;SB;109
Volvo XC40;SC;108
Peugeot 10;A;108
Audi Rs5;D;104
Skoda Superb;D;104
BMW Seria7;E;102
Mercedes-Benz CLS;E;102
Citroen C1;A;102
Alfa-Romeo Giulia;D;101
Volkswagen Golf Sportsvan;C;101
Mitsubishi SpaceStar;B;100
Chevrolet Corvette;D;99
Chevrolet Camaro;D;97
Mazda 6;D;96
Seat Arona;SB;95
Seat Tarraco;D;95
Citroen C4;C;94
Opel Zafira;MC;94
Volkswagen Up;A;93
Toyota Corolla;C;92
Kia Picanto;A;91
Jeep Compass;C;91
Hyundai Kona;SB;90
Suzuki Vitara;SB;90
Hyundai Tucson;SC;89
Audi S4;D;88
Volkswagen NewBeetle;C;88
Mazda 3;C;87
Toyota RAV4;SD;87
Suzuki Jimny;SA;87
Mazda MX-5;B;87
Citroen C3 Aircross;SB;86
Mercedes-Benz GLB;SD;86
BMW Z3;B;85
Suzuki SX4;SB;84
Seat Alhambra;D;84
BMW X2;SC;84
Opel Adam;A;80
Audi A6;E;79
Jeep Renegade;B;79
Mazda CX-3;SB;76
Citroen C4 SpaceTourer;MC;76
Ford Kuga;SC;76
Mercedes-Benz CLK;X;75
BMW X6;SE;75
Subaru Legacy;X;74
Fiat Tipo;X;71
Opel Grandland;X;71
Volvo S60;X;70
Mercedes-Benz KlasaG;X;70
Subaru WRX;X;69
Mitsubishi Lancer;X;67
Subaru Outback;X;66
Peugeot 500;X;66
Audi Sq5;X;66
BMW Seria8;X;65
Volvo V40;X;65
Mitsubishi Colt;X;61
Renault Kadjar;X;61
Audi R8;X;60
Ford C-MAX;X;60
Hyundai I10;X;60
Toyota GR Yaris;X;58
Kia Rio;X;58
Alfa-Romeo Mito;X;56
Mercedes-Benz ML;X;55
Honda CR-V;X;55
Volkswagen Sharan;X;52
Volkswagen Transporter;X;52
Ford Puma;X;50
Subaru Levorg;X;49
Ford Ka;X;49
BMW M6;X;48
Renault Espace;X;48
Audi S1;X;47
Suzuki Ignis;X;47
Citroen C5 Aircross;X;45
Alfa-Romeo Spider;X;44
Mercedes-Benz CL;X;44
Skoda Rapid;X;44
Skoda Yeti;X;43
Ford Ecosport;X;43
Volkswagen Scirocco;X;42
Mercedes-Benz Amg;X;42
Kia Stonic;X;41
Volvo XC90;X;39
Opel Agila;X;39
Honda HR-V;X;39
Volkswagen Eos;X;39
Nissan X-Trail;X;39
Volkswagen Arteon;X;38
Audi S8;X;38
Audi S6;X;38
Hyundai Ix20;X;37
Toyota Verso;X;37
Toyota C-HR;X;37
Peugeot Partner;X;36
Fiat 124;X;35
Nissan 370;X;35
Subaru Justy;X;33
Volkswagen Caddy;X;32
Audi Sq2;X;32
Dacia Logan;X;32
Ford S-MAX;X;32
Kia Sportage;X;32
Mazda CX-30;X;31
Jeep Cherokee;X;30
Seat Altea;X;30
Renault Modus;X;30
Citroen C4 Cactus;X;29
Nissan Note;X;29
Citroen C5;X;29
Renault Kangoo;X;29
Fiat 500L;X;29
Alfa-Romeo 4c;X;29
Toyota Avensis;X;29
Audi A8;X;28
Ford B-MAX;X;28
Ford Mondeo;X;28
