model;rok;cena;cena_srednia;cena_procent;przebieg;przebieg_sredni;przebieg_procent;wiek_ogloszenia;link
Alfa-Romeo 147;2002;3.9;6.4;-39.1;136.0;164.6;-17.4;113;autoscout24.ch/en/d/11450393
Alfa-Romeo 156;2003;19.5;22.98;-15.1;123.8;166.09;-25.5;553;autoscout24.ch/en/d/10224429
Alfa-Romeo 159;2010;7.9;10.02;-21.2;104.69;149.0;-29.7;195;autoscout24.ch/en/d/11206317
Alfa-Romeo 4c;2014;75.0;79.31;-5.4;18.0;33.03;-45.5;329;autoscout24.ch/en/d/10856728
Alfa-Romeo 4c;2016;67.9;77.39;-12.3;29.0;32.56;-10.9;45;autoscout24.ch/en/d/11635440
Alfa-Romeo 75;1990;21.9;35.45;-38.2;99.9;136.82;-27.0;623;autoscout24.ch/en/d/10052717
Alfa-Romeo Brera;2007;5.8;6.35;-8.7;169.999;185.5;-8.4;62;autoscout24.ch/en/d/11589228
Alfa-Romeo Giulia;2022;43.8;46.54;-5.9;8.68;18.75;-53.7;28;autoscout24.ch/en/d/11682278
Alfa-Romeo Giulia;2019;36.7;39.14;-6.2;41.999;61.62;-31.8;121;autoscout24.ch/en/d/11424907
Alfa-Romeo Giulia;2019;36.5;39.14;-6.7;53.4;61.62;-13.3;4;autoscout24.ch/en/d/11741093
Alfa-Romeo Giulia;2022;43.1;46.54;-7.4;15.5;18.75;-17.3;246;autoscout24.ch/en/d/11081097
Alfa-Romeo Giulia;2022;41.9;46.54;-10.0;12.0;18.75;-36.0;163;autoscout24.ch/en/d/11310037
Alfa-Romeo Giulia;2023;43.99;50.27;-12.5;10.3;12.89;-20.1;50;autoscout24.ch/en/d/11632457
Alfa-Romeo Giulia;2018;33.9;39.39;-13.9;37.7;71.04;-46.9;10;autoscout24.ch/en/d/11720714
Alfa-Romeo Giulia;2022;39.98;46.54;-14.1;15.879;18.75;-15.3;6;autoscout24.ch/en/d/11737192
Alfa-Romeo Giulia;2018;33.5;39.39;-15.0;21.5;71.04;-69.7;156;autoscout24.ch/en/d/11334573
Alfa-Romeo Giulia;2021;40.9;48.2;-15.1;29.2;31.67;-7.8;217;autoscout24.ch/en/d/11142544
Alfa-Romeo Giulia;2021;37.89;48.2;-21.4;20.0;31.67;-36.8;94;autoscout24.ch/en/d/11500826
Alfa-Romeo Giulia;2021;37.9;48.2;-21.4;19.9;31.67;-37.2;456;autoscout24.ch/en/d/10510514
Alfa-Romeo Giulia;2019;29.999;39.14;-23.4;37.5;61.62;-39.1;187;autoscout24.ch/en/d/11232126
Alfa-Romeo Giulia;2017;27.9;37.64;-25.9;34.7;84.04;-58.7;1;autoscout24.ch/en/d/11737049
Alfa-Romeo Giulia;2020;37.5;50.91;-26.3;31.43;37.52;-16.2;265;autoscout24.ch/en/d/11035232
Alfa-Romeo Giulia;2018;28.0;39.39;-28.9;29.0;71.04;-59.2;268;autoscout24.ch/en/d/11024149
Alfa-Romeo Giulia;2017;25.85;37.64;-31.3;57.0;84.04;-32.2;100;autoscout24.ch/en/d/11485799
Alfa-Romeo Giulia;2017;24.9;37.64;-33.8;37.1;84.04;-55.9;89;autoscout24.ch/en/d/11513600
Alfa-Romeo Giulia;2020;31.62;50.91;-37.9;27.0;37.52;-28.0;2;autoscout24.ch/en/d/11744621
Alfa-Romeo Giulia;2020;28.9;50.91;-43.2;27.1;37.52;-27.8;24;autoscout24.ch/en/d/11690208
Alfa-Romeo Giulia;2018;21.9;39.39;-44.4;66.5;71.04;-6.4;48;autoscout24.ch/en/d/11628721
Alfa-Romeo Giulietta;2019;15.96;16.91;-5.6;53.8;58.97;-8.8;1;autoscout24.ch/en/d/11738049
