id;model;klasa;cena;rok;przebieg;pojemnosc_silnika;skrzynia_biegow;link
1;Renault Megane;C;0.47777777777777775;2003;333;1598;Manualna;otomoto.pl/osobowe/oferta/renault-megane-renault-megane-dobra-cena-ID6Gis7a.html
32;Renault Scenic;MC;0.8666666666666667;2004;375;1598;Manualna;otomoto.pl/osobowe/oferta/renault-scenic-1-6-16v-klima-polska-ID6GA1d6.html
112;Renault Kangoo;X;1.5555555555555556;2003;420;1598;Manualna;otomoto.pl/osobowe/oferta/renault-kangoo-renault-kangoo-helios-1-6-16v-srebrny-metalik-ID6GBuNv.html
115;Renault Kangoo;X;1.6;2005;316;1149;Manualna;otomoto.pl/osobowe/oferta/renault-kangoo-reanult-kangoo-1-2-2005r-ID6GzYyA.html
117;Renault Scenic;MC;1.6222222222222222;2004;390;1598;Manualna;otomoto.pl/osobowe/oferta/renault-scenic-1-6-16v-klima-zarejestrowany-w-pl-ew-zamiana-ID6G0FD0.html
150;Renault Espace;X;1.7777777777777777;2007;343;3498;Automatyczna;otomoto.pl/osobowe/oferta/renault-grand-espace-iv-3-5-v6-initiale-paris-oferta-prywatna-ID6Gdt02.html
160;Renault Espace;X;1.8888888888888888;1999;312;1998;Manualna;otomoto.pl/osobowe/oferta/renault-grand-espace-2-0-8v-115km-sprawna-klimatyzacja-ladny-zadbany-7-miejsc-film-ID6GzrvB.html
305;Renault Megane;C;2.6664444444444446;2009;316;1598;Manualna;otomoto.pl/osobowe/oferta/renault-megane-renault-megane-iii-ID6GoytB.html
343;Renault Vel Satis;X;2.888666666666667;2008;310;3498;Automatyczna;otomoto.pl/osobowe/oferta/renault-vel-satis-bezwypadkowy-3-5v6-lpg-2008-rok-automat-ID6Gzzx2.html
355;Renault Megane;C;3.0;2010;420;1598;Manualna;otomoto.pl/osobowe/oferta/renault-megane-renault-megane-2010-1-6-16v-manual-klimatyzacja-pierwszy-wlasciciel-ID6GARfL.html
498;Renault Megane;C;3.755555555555555;2011;316;1997;Manualna;otomoto.pl/osobowe/oferta/renault-fluence-2-0i-140km-klimatronic-tempomat-parktronic-serwis-oplacony-ID6GvUZ2.html
505;Renault Espace;X;3.755555555555555;2009;339;3498;Automatyczna;otomoto.pl/osobowe/oferta/renault-grand-espace-renault-grand-espace-lift-3-5-v6-initiale-xenon-panorama-dach-7-osob-ID6GDgJR.html
567;Renault Megane;C;4.111111111111111;2010;305;1397;Manualna;otomoto.pl/osobowe/oferta/renault-megane-ID6GD623.html
629;Renault Scenic;MC;4.355555555555556;2013;340;1197;Manualna;otomoto.pl/osobowe/oferta/renault-scenic-renault-scenic-1-2tce-2013r-salon-polska-ID6Gv905.html
708;Renault Megane;C;4.691111111111111;2010;352;1397;Manualna;otomoto.pl/osobowe/oferta/renault-megane-grandtour-1-4-tce-2010-r-privilege-silnik-po-regenracji-ID6GA22U.html
818;Renault Espace;X;5.266666666666667;2007;317;1998;Manualna;otomoto.pl/osobowe/oferta/renault-grand-espace-2-0-turbo-benzyna-170kmprivilege7-oshands-freenavicabassetv-ID6GDrV6.html
2047;Renault Captur;SB;14.377777777777778;2019;982;898;Manualna;otomoto.pl/osobowe/oferta/renault-captur-982-km-przebiegu-pl-salon-nowe-auto-najnizszy-przebieg-w-pl-ID6GBpTw.html
2105;Renault Clio;B;15.311111111111112;2023;500;999;Manualna;otomoto.pl/osobowe/oferta/renault-clio-clio-1-0-tce-equilibre-90km-ID6GBaXq.html
2364;Renault Captur;SB;21.444444444444443;2023;713;999;Manualna;otomoto.pl/osobowe/oferta/renault-captur-1-0-tce-techno-od-dealera-fv-23-ID6GsTpr.html
2389;Renault Clio;B;22.200000000000003;2023;335;1332;Manualna;otomoto.pl/osobowe/oferta/renault-clio-rs-line-1-3-tce-140-km-salon-pl-niski-przebieg-fv-23-ID6GAJyK.html
2495;Renault Arkana;X;27.08888888888889;2022;503;1332;Automatyczna;otomoto.pl/osobowe/oferta/renault-arkana-1-3-tce-mhev-r-s-line-edc-demo-niski-przebieg-gwarancja-ID6Gmf0Y.html
2569;Renault Austral;X;32.22;2023;339;1332;Automatyczna;otomoto.pl/osobowe/oferta/renault-austral-techno-mild-hybrid-160-auto-samochod-demo-zyskaj-az-32-910-zl-ID6FFW6G.html
2681;Hyundai Coupe;X;1.911111111111111;2002;306;1975;Manualna;otomoto.pl/osobowe/oferta/hyundai-coupe-hyundai-coupe-2-0-gls-przeglad-do-maja-2025-oc-do-czerwca-2025-ID6GB0zR.html
2706;Hyundai Tucson;SC;2.4444444444444446;2007;382;1975;Manualna;otomoto.pl/osobowe/oferta/hyundai-tucson-hyundai-tucson-140-km-ID6Gws5H.html
2726;Hyundai I30;C;2.822222222222222;2007;328;1591;Manualna;otomoto.pl/osobowe/oferta/hyundai-i30-hyundai-i30-1-6-benzyna-2007-ID6GBknt.html
2998;Hyundai I30;C;5.0;2012;348;1591;Manualna;otomoto.pl/osobowe/oferta/hyundai-i30-stan-bardzo-dobry-gotowy-do-eksploatacji-ID6GB0UM.html
3051;Hyundai I30;C;5.488888888888889;2012;379;1591;Manualna;otomoto.pl/osobowe/oferta/hyundai-i30-stan-bardzo-dobry-ID6GzIkp.html
3962;Hyundai Tucson;SC;12.399999999999999;2015;326;1591;Automatyczna;otomoto.pl/osobowe/oferta/hyundai-tucson-pierwszy-wlasciciel-stan-bardzo-dobry-ID6GAhg5.html
4204;Hyundai i10;X;15.08888888888889;2023;520;1197;Manualna;otomoto.pl/osobowe/oferta/hyundai-i10-modern-winter-15-salon-pl-demo-fv23-leasing-ID6Gx4tD.html
4236;Hyundai i10;X;15.311111111111112;2023;754;998;Manualna;otomoto.pl/osobowe/oferta/hyundai-i10-i10-1-0-mpi-5mt-67-km-modern-winter-15-2023-ID6GbLUE.html
4240;Hyundai i10;X;15.311111111111112;2023;690;998;Manualna;otomoto.pl/osobowe/oferta/hyundai-i10-fv23-felgi-15-podgrzewane-fotele-i-kierownica-hyundai-margo-ID6GCiog.html
4417;Hyundai i10;X;16.577777777777776;2023;360;1197;Manualna;otomoto.pl/osobowe/oferta/hyundai-i10-1-2-gdi-modern-6-mt-manualna-skrzynia-biegow-ID6GvHAk.html
4486;Hyundai i20;B;17.08888888888889;2023;850;998;Manualna;otomoto.pl/osobowe/oferta/hyundai-i20-12-2023r-modern-comfort-led-salon-pl-demo-fv23-leasing-ID6Gx4u1.html
