model;klasa;counts
Opel Astra;C;188
Ford Focus;C;119
Skoda Fabia;B;113
Peugeot 200;SB;81
Ford Fiesta;B;75
Renault Clio;B;72
Opel Mokka;SB;68
Ford C-MAX;MC;67
Opel Corsa;B;62
Renault Megane;C;61
Hyundai I30;C;52
Peugeot 30;C;51
Citroën C4;C;51
Citroën C3;B;48
Toyota Corolla;C;48
Hyundai i20;B;43
Toyota Yaris;B;40
Nissan Qashqai;SC;40
Nissan Juke;SB;40
Volkswagen Golf;C;38
Kia Ceed;C;37
Peugeot 20;B;37
Seat Leon;C;36
Skoda Scala;C;36
Citroën C4 SpaceTourer;MC;34
Dacia Duster;SC;33
Opel Crossland;SB;30
Renault Captur;SB;30
Fiat Tipo;D;30
Dacia Sandero;B;29
Volkswagen up!;A;29
Seat Ibiza;B;26
Mitsubishi ASX;SC;26
Ford EcoSport;X;25
Skoda Octavia;C;25
Hyundai ix35;SC;23
Ford B-MAX;X;22
Volkswagen Polo;B;20
Toyota Aygo;A;18
Renault Kadjar;SC;17
Kia Rio;B;16
Opel Meriva;MB;16
Hyundai i10;X;16
Opel Zafira;MC;15
Renault Scenic;MC;15
Suzuki SX4;SB;15
Suzuki Swift;B;15
Mazda 3;C;14
Ford Kuga;SC;14
Ford Mondeo;D;14
Citroën C3 Aircross;X;14
Kia Picanto;X;13
Skoda Citigo;X;13
Fiat 500X;X;13
Opel Insignia;D;13
Fiat 500;B;13
Opel Adam;X;13
Suzuki Baleno;X;11
Mazda 2;X;11
Nissan Pulsar;X;11
Citroën DS3;X;10
Peugeot 300;SC;10
Dacia Lodgy;X;9
Nissan Note;X;8
Nissan Micra;B;8
Citroën Berlingo;X;8
Kia Soul;X;7
Kia Sportage;SC;7
Ford Tourneo;X;7
BMW Seria2;MC;7
Fiat Panda;X;7
Fiat 500L;X;7
BMW Seria1;C;6
Ford Focus Turnier;X;6
Volkswagen Tiguan;SC;6
Honda Civic;C;6
Dacia Dokker;X;6
Kia Carens;X;6
Renault Twingo;X;6
Dacia Logan;X;6
Citroën C-Elysée;X;5
Peugeot 50;X;5
Volkswagen Golf Sportsvan;MC;5
MINI Countryman;SB;5
Suzuki Vitara;SB;5
Kia Venga;X;5
Jeep Renegade;X;5
Hyundai ix20;X;5
Hyundai Kona;SB;5
Volkswagen Jetta;X;4
Skoda Yeti;X;4
Alfa-Romeo Giulietta;X;4
Fiat Doblo;X;4
Citroën DS4;X;4
MINI Cooper;B;4
Honda Jazz;MB;3
BMW Seria3;C;3
Fiat Fiorino;X;3
Toyota Avensis;D;3
Hyundai Elantra;X;3
Kia ProCeed;X;3
Peugeot Partner;X;3
Kia Stonic;SB;3
Peugeot 301;X;3
Mitsubishi SpaceStar;X;3
Volkswagen NewBeetle;X;2
Fiat Punto;C;2
Ford KA;X;2
Skoda Superb;D;2
Ford Transit;X;2
Opel Karl;X;2
Peugeot 10;X;2
Seat Mii;X;2
Hyundai Sonata;X;2
Toyota Verso;X;2
Mitsubishi Lancer;X;2
Suzuki Jimny;X;2
MINI Clubman;X;2
Volkswagen Passat;D;2
Citroën C3 SpaceTourer;X;2
Citroën DS5;X;1
Audi Q5;SD;1
Audi A3;C;1
Audi A1;X;1
Citroën DS3 Cabrio;X;1
Ford Escape;X;1
Opel Combo;X;1
Suzuki Ignis;X;1
Alfa-Romeo Mito;X;1
Opel Cascada;X;1
Nissan Sentra;X;1
Mitsubishi Outlander;X;1
Mercedes-Benz KlasaB;MC;1
Mercedes-Benz GLA;SC;1
Mazda CX-3;SB;1
Renault Kangoo;X;1
Ford Fusion;X;1
Jeep Patriot;X;1
Seat Arona;SB;1
Hyundai i40;X;1
Seat Toledo;X;1
Honda Accord;X;1
Skoda Roomster;X;1
Volvo V40;X;1
