model;klasa;counts
Opel Astra;C;1783
Nissan Qashqai;SC;1030
Volkswagen Golf;C;1011
Kia Sportage;SC;938
Ford Focus;C;930
Skoda Octavia;C;859
Toyota Corolla;C;834
BMW Seria3;C;823
Kia Ceed;C;741
Hyundai I30;C;733
Opel Corsa;B;731
Toyota Yaris;B;714
Renault Megane;C;695
Audi A4;D;676
Ford Fiesta;B;645
Skoda Fabia;B;631
Opel Mokka;SB;631
Audi A3;C;583
Hyundai Tucson;SC;578
Volkswagen Passat;D;570
Mercedes-Benz KlasaC;D;544
BMW Seria1;C;532
Honda Civic;C;524
Renault Clio;B;522
Peugeot 20;B;520
Seat Leon;C;514
Volkswagen Tiguan;SC;449
MINI Cooper;B;444
Mercedes-Benz KlasaA;C;427
Volkswagen Polo;B;412
Citroën C3;B;407
Opel Insignia;D;406
Peugeot 30;C;403
Peugeot 200;SB;396
Nissan Juke;SB;396
Mazda 6;D;382
Skoda Superb;D;382
Ford Kuga;SC;350
Opel Meriva;MB;347
Ford Mondeo;D;333
Ford C-MAX;MC;333
Citroën C4;C;333
Renault Scenic;MC;331
BMW Seria5;D;325
Mazda 3;C;323
Peugeot 300;SC;317
Suzuki Vitara;SB;317
Honda CR-V;SC;314
Mazda CX-5;SD;309
Volkswagen T-Roc;SB;302
Skoda Scala;C;300
Seat Ibiza;B;300
Hyundai ix35;SC;298
Fiat 500;B;294
Suzuki SX4;SB;289
Mercedes-Benz KlasaE;E;286
Renault Captur;SB;281
Mercedes-Benz CLA;C;280
Hyundai i20;B;277
Toyota Avensis;D;275
Toyota Aygo;A;275
Dacia Duster;SC;257
Volvo S60;D;257
Opel Zafira;MC;255
Audi A6;E;248
Dacia Sandero;B;241
Fiat Punto;C;225
Mitsubishi ASX;SC;223
Audi A5;D;221
Suzuki Swift;B;215
Mazda CX-3;SB;206
Toyota RAV4;SD;202
Fiat Tipo;D;199
Volvo XC40;SC;199
Citroën C4 SpaceTourer;MC;194
MINI Countryman;SB;190
Volkswagen Arteon;D;189
Kia Rio;B;182
Audi Q3;SC;180
Volvo XC60;SD;177
Renault Kadjar;SC;177
Opel Crossland;SB;176
BMW Seria2;MC;167
Volkswagen Golf Sportsvan;MC;164
Mercedes-Benz KlasaB;MC;163
Hyundai Kona;SB;161
Opel Grandland;SC;161
Honda Jazz;MB;160
Kia Stonic;SB;159
Nissan Micra;B;159
Mercedes-Benz KlasaS;E;155
Seat Ateca;SC;153
BMW X1;SC;152
Volkswagen up!;A;151
Mercedes-Benz GLA;SC;149
Seat Arona;SB;149
Skoda Kodiaq;SD;147
Kia XCeed;SC;142
Audi Q5;SD;142
Kia ProCeed;X;139
Renault Laguna;D;139
Skoda Kamiq;X;138
Skoda Karoq;X;137
Volkswagen Touran;X;137
Peugeot 50;X;136
Fiat Panda;X;133
Mercedes-Benz GLC;X;132
Hyundai i10;X;130
Toyota Verso;X;129
Ford S-Max;X;127
Citroën C3 Aircross;X;127
BMW X3;X;127
Kia Picanto;X;127
Nissan Note;X;125
Renault Arkana;X;120
Honda Accord;X;120
Peugeot 500;X;119
Ford EcoSport;X;118
Mazda 2;X;116
