model;rok;cena;cena_srednia;cena_procent;przebieg;przebieg_sredni;przebieg_procent;link
Alfa-Romeo 159;2007;3.177777777777778;4.16;-23.6;145;176.33;-17.8;otomoto.pl/osobowe/oferta/alfa-romeo-159-ID6GeTxi.html
Alfa-Romeo GT;2005;3.3111111111111113;5.99;-44.7;105;126.0;-16.7;otomoto.pl/osobowe/oferta/alfa-romeo-gt-2-0-165-ps-automat-1-wlasciciel-bertone-ID6GCXMe.html
Alfa-Romeo Giulia;2017;21.066666666666666;23.28;-9.5;79;99.5;-20.6;otomoto.pl/osobowe/oferta/alfa-romeo-giulia-giulia-2-0-280km-4x4-prawdziwie-czerwona-alu-nowe-opony-perfect-ID6G5qb9.html
Alfa-Romeo Giulia;2021;32.46422222222222;36.4;-10.8;52;59.0;-11.9;otomoto.pl/osobowe/oferta/alfa-romeo-giulia-bez-odstepnego-polska-i-wlasciciel-aso-gwarancja-jedyna-taka-w-pl-ID6FKSeM.html
Alfa-Romeo Giulia;2017;20.5;23.28;-11.9;39;99.5;-60.8;otomoto.pl/osobowe/oferta/alfa-romeo-giulia-alfa-romeo-giulia-2-0t-280-km-vat23-salon-polska-43-tys-przebieg-ID6Ga8r7.html
Alfa-Romeo Giulia;2019;23.33311111111111;26.57;-12.2;46;67.36;-31.7;otomoto.pl/osobowe/oferta/alfa-romeo-giulia-alfa-romeo-giulia-ti-sport-rwd-bezwypadkowa-ID6GzNGB.html
Alfa-Romeo Giulia;2019;23.333333333333332;26.57;-12.2;33;67.36;-51.0;otomoto.pl/osobowe/oferta/alfa-romeo-giulia-alfa-romeo-giulia-2-0-turbo-ID6GzWaD.html
Alfa-Romeo Giulia;2019;22.666666666666668;26.57;-14.7;55;67.36;-18.3;otomoto.pl/osobowe/oferta/alfa-romeo-giulia-alfa-romeo-giulia-ID6GrJlS.html
Alfa-Romeo Giulia;2018;22.221999999999998;27.01;-17.7;10;62.1;-83.9;otomoto.pl/osobowe/oferta/alfa-romeo-giulia-alfa-romeo-giulia-2-0-280hp-q4-veloce-ID6GDz61.html
Alfa-Romeo Giulietta;2011;6.199999999999999;6.7;-7.5;185;196.39;-5.8;otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-1-4t-170km-polskora-tempomat-parktronic-klimatronic-oplacony-ID6GCufH.html
Alfa-Romeo Giulietta;2012;6.333333333333333;7.09;-10.7;140;166.67;-16.0;otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-automat-xenon-led-ID6GzGBC.html
Alfa-Romeo Giulietta;2012;6.199999999999999;7.09;-12.6;124;166.67;-25.6;otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-170-km-klimatron-pewne-auto-6bieg-polecam-zakup-door-to-door-ID6G9D9Z.html
Alfa-Romeo Giulietta;2013;7.311111111111111;8.44;-13.4;97;140.23;-30.8;otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-benzyna-120km-stan-bdb-ii-wlascicieli-2x-kola-vip-gwarancja-ID6GAqYo.html
Alfa-Romeo Giulietta;2011;5.7555555555555555;6.7;-14.1;140;196.39;-28.7;otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-2011-r-1-4-pb-niski-przebieg-stan-celujacy-zamiana-raty-ID6Gz1PQ.html
Alfa-Romeo Giulietta;2010;5.088888888888889;6.21;-18.1;136;166.44;-18.3;otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-led-alufelgi-climatronik-dna-tempomat-gwarancja-ID6GAT61.html
Alfa-Romeo Giulietta;2015;8.866666666666667;11.0;-19.4;51;123.2;-58.6;otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-1-4-benzyna-120km-przebieg-51000km-z-niemiec-ID6GCVi2.html
Alfa-Romeo Giulietta;2017;11.088888888888889;14.35;-22.7;84;89.33;-6.0;otomoto.pl/osobowe/oferta/alfa-romeo-giulietta-moc-150-km-ledy-alufelgi-17-cali-navi-apps-sensory-stan-auta-sterylny-ID6GyJzB.html
Alfa-Romeo Mito;2010;4.419555555555556;4.66;-5.2;114;175.0;-34.9;otomoto.pl/osobowe/oferta/alfa-romeo-mito-klimatyzacja-1-4-t-135-km-tempomat-zarejestrowany-oc-ID6Gknlx.html
Alfa-Romeo Mito;2011;4.333333333333333;4.77;-9.2;144;164.0;-12.2;otomoto.pl/osobowe/oferta/alfa-romeo-mito-stan-bardzo-dobry-135ps-bez-wkladu-ID6Gp1XJ.html
Alfa-Romeo Mito;2010;4.111111111111111;4.66;-11.8;130;175.0;-25.7;otomoto.pl/osobowe/oferta/alfa-romeo-mito-alfa-romeo-mito-1-4-od-osoby-prywatnej-ID6GAAuT.html
Alfa-Romeo Mito;2011;4.199999999999999;4.77;-11.9;125;164.0;-23.8;otomoto.pl/osobowe/oferta/alfa-romeo-mito-nowe-sprzeglo-ID6G9vAz.html
Alfa-Romeo Mito;2008;3.6666666666666665;4.19;-12.5;157;193.0;-18.7;otomoto.pl/osobowe/oferta/alfa-romeo-mito-alfa-romeo-mito-progression-155-km-ID6GByPg.html
